COUNTRY,AVG_YR_SCH
Afghanistan,2.99
Albania,10.175311
Algeria,7.416387
American Samoa,-1.0
Andorra,11.434999
Angola,5.956173
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,11.6475
Argentina,11.184582
Armenia,11.344978
Aruba,-1.0
Australia,12.78
Austria,12.361465
Azerbaijan,10.8550005
Azores,-1.0
Bahamas,12.814419
Bahrain,11.075
Bangladesh,6.79
Barbados,9.928357
Belarus,12.335373
Belgium,12.689651
Belize,8.76229
Benin,3.1942
Bermuda,-1.0
Bhutan,5.8357944
Bolivia,10.021223
Bonaire,-1.0
Bosnia and Herzegovina,10.755
Botswana,10.478
Bouvet Island,-1.0
Brazil,8.425372
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,-1.0
Bulgaria,11.454531
Burkina Faso,2.26655
Burundi,3.4739356
Cabo Verde,-1.0
Cambodia,5.1971
Cameroon,6.5741806
Canada,13.87
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,3.9894314
Chad,2.3349848
Chile,11.291054
China,8.036181
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,9.031582
Comoros,5.8663116
Congo,8.322645
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,8.844752
Côte d'Ivoire,-1.0
Croatia,12.095121
Cuba,10.631489
Curacao,-1.0
Cyprus,12.557372
Czech Republic,-1.0
Denmark,13.027321
Djibouti,3.9504151
Dominica,10.12509
Dominican Republic,9.444526
Ecuador,9.11
Egypt,10.13612
El Salvador,7.2000003
Equatorial Guinea,8.281327
Eritrea,5.0913644
Estonia,13.562166
Eswatini,8.48564
Ethiopia,2.4025397
Falkland Islands,-1.0
Faroe Islands,-1.0
Fiji,10.37097
Finland,12.979626
France,11.765668
French Guiana,-1.0
French Polynesia,-1.0
French Southern Territories,-1.0
Gabon,9.686
Gambia,4.674727
Georgia,12.74
Germany,14.296371
Ghana,6.9098682
Gibraltar,-1.0
Glorioso Islands,-1.0
Greece,11.553857
Greenland,-1.0
Grenada,9.4464
Guadeloupe,-1.0
Guam,-1.0
Guatemala,5.7915335
Guernsey,-1.0
